id_i,curso,sexo,edad,v01,v02,v03,v04,v05,v06,v07,au1,au2,au3,au4,au5,au6,au7,au8,au9,au10,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,self,dep,adm,zona,prio,comu,poli
47601,1,1,1,2,2,1,2,2,2,1,5,5,1,5,1,5,5,1,1,1,3,2,1,1,2,3,2,3,2,1,3,3,2,1,1,2,1,2,50,7,1,4,0.16442451420029897,115,2
47602,1,1,1,2,2,1,2,2,2,2,5,5,1,5,2,4,4,2,2,1,2,2,1,2,2,1,2,3,3,1,2,3,3,1,1,3,1,2,45,9,1,4,0.16442451420029897,115,2
47603,1,2,1,2,2,1,2,2,1,2,4,5,1,5,1,5,5,2,1,1,2,2,1,2,2,3,3,3,3,1,3,3,3,2,1,3,1,2,48,6,1,4,0.16442451420029897,115,2
47604,1,1,2,1,NA,2,2,2,1,2,3,2,3,2,2,2,1,5,4,4,2,2,2,1,1,2,1,3,1,1,2,2,2,1,2,2,2,3,22,18,1,4,0.16442451420029897,115,2
47605,1,1,1,2,2,2,2,2,2,2,4,4,1,5,2,5,4,4,2,1,2,2,1,1,3,2,2,3,2,1,2,2,3,2,1,2,1,2,42,10,1,4,0.16442451420029897,115,2
47606,1,2,1,2,2,2,2,2,1,1,4,4,2,3,4,4,3,3,2,3,3,1,1,1,2,2,2,3,3,1,2,2,2,1,1,3,1,2,34,7,1,4,0.16442451420029897,115,2
47607,1,1,2,1,2,1,2,2,1,2,5,5,2,4,1,5,5,5,2,2,3,2,1,1,3,3,2,3,1,1,2,2,3,1,1,3,1,1,42,6,1,4,0.16442451420029897,115,2
47608,2,1,2,1,2,2,2,2,1,2,5,5,2,5,1,5,5,2,2,3,1,2,1,1,3,3,3,3,3,1,3,3,3,1,1,3,1,2,45,4,1,4,0.16442451420029897,115,2
47609,2,2,2,2,2,1,1,2,1,1,5,5,3,5,1,5,5,1,1,1,3,3,2,2,2,1,3,2,3,1,2,1,1,2,2,3,2,2,48,17,1,4,0.16442451420029897,115,1
47610,2,1,3,1,2,2,2,2,2,2,5,5,2,4,1,5,5,4,4,4,2,2,2,1,1,2,3,3,2,1,2,3,3,2,2,3,2,2,39,12,1,4,0.16442451420029897,115,2
47611,2,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,2,2,3,2,2,2,2,1,2,2,2,1,2,29,19,1,4,0.16442451420029897,115,2
47612,2,1,2,1,2,1,1,2,1,1,4,4,4,3,3,3,4,5,5,2,2,3,3,2,2,1,2,2,3,1,2,2,2,3,3,2,3,2,29,22,1,4,0.16442451420029897,115,1
47613,2,2,3,1,2,1,2,2,2,2,4,4,2,4,2,4,3,3,2,2,3,1,1,2,2,1,3,2,2,1,2,2,2,1,1,2,1,1,38,10,1,4,0.16442451420029897,115,2
47614,2,2,2,2,1,1,2,2,1,2,4,4,2,3,1,3,5,2,4,2,2,2,1,1,1,3,2,3,3,1,2,3,3,1,1,2,1,2,38,8,1,4,0.16442451420029897,115,2
47615,3,1,3,2,2,1,2,2,2,2,5,5,3,4,5,3,2,5,4,5,3,2,3,2,1,2,3,3,2,2,2,2,3,1,2,3,2,2,27,14,1,4,0.16442451420029897,115,2
47616,3,1,3,1,2,2,2,2,2,2,5,4,3,4,4,3,4,4,3,4,2,1,1,2,1,2,2,3,3,1,2,3,3,2,2,2,1,2,32,11,1,4,0.16442451420029897,115,2
47617,3,1,3,2,2,2,2,2,2,2,5,5,1,5,1,4,5,1,3,2,2,2,1,2,1,3,2,3,3,1,3,3,3,1,1,2,1,2,46,8,1,4,0.16442451420029897,115,2
47618,3,1,3,2,NA,2,NA,2,1,2,5,5,3,5,1,5,5,1,3,2,3,2,1,1,2,3,3,3,2,1,3,3,3,1,2,3,1,1,45,4,1,4,0.16442451420029897,115,2
47619,3,1,4,2,2,2,2,2,1,2,5,5,1,5,1,4,5,2,2,2,3,2,1,1,2,2,2,3,3,1,3,3,3,1,1,3,1,2,46,5,1,4,0.16442451420029897,115,2
47620,3,1,3,2,2,1,2,2,1,2,4,4,2,5,2,4,3,3,2,1,2,3,2,2,1,2,2,3,2,1,3,2,2,1,3,2,3,3,40,19,1,4,0.16442451420029897,115,2
47621,3,1,3,2,2,1,2,2,1,2,3,4,4,4,5,2,2,2,4,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,NA,1,2,3,28,NA,1,4,0.16442451420029897,115,2
47622,4,2,4,1,1,1,1,2,1,2,5,5,1,5,1,5,5,1,1,1,2,1,1,1,2,3,3,3,3,1,3,3,3,1,1,3,1,1,50,2,1,4,0.16442451420029897,115,2
47623,4,1,4,2,1,1,1,1,1,2,2,2,4,3,4,1,3,4,4,4,2,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,21,19,1,4,0.16442451420029897,115,1
47624,4,2,5,1,2,1,1,2,1,2,4,4,2,4,2,4,4,4,3,4,2,1,1,1,2,2,2,3,2,1,2,2,2,1,1,3,1,2,35,9,1,4,0.16442451420029897,115,2
47625,4,2,6,2,2,1,2,2,1,2,4,4,1,4,3,4,4,3,2,2,2,1,1,2,2,2,2,3,2,1,2,2,2,1,1,2,1,2,39,11,1,4,0.16442451420029897,115,2
47626,4,2,4,1,2,1,2,2,1,2,4,4,2,5,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,39,10,1,4,0.16442451420029897,115,2
47627,4,1,5,1,2,2,2,2,1,2,5,5,1,5,1,5,5,3,1,1,3,1,1,1,3,3,3,3,2,1,3,3,2,1,1,3,1,1,48,2,1,4,0.16442451420029897,115,1
47628,4,1,4,2,2,2,2,2,2,2,5,5,3,5,2,5,5,4,4,4,3,3,2,1,2,3,2,3,2,1,2,2,2,2,2,3,2,2,38,13,1,4,0.16442451420029897,115,2
47630,5,2,5,1,2,1,2,2,1,1,5,4,3,4,2,3,4,5,4,2,2,2,2,1,3,1,1,3,3,1,2,2,2,1,1,3,1,2,34,11,1,4,0.16442451420029897,115,2
47631,5,2,6,1,2,1,2,1,1,1,3,4,5,4,4,3,3,2,5,5,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,2,2,3,26,18,1,4,0.16442451420029897,115,2
47632,5,1,6,1,2,2,1,2,1,2,4,4,4,3,5,2,3,5,2,4,1,3,3,2,1,1,2,2,1,3,2,1,1,3,3,1,3,3,26,32,1,4,0.16442451420029897,115,1
47633,5,2,5,2,2,2,2,2,1,2,5,5,1,5,1,5,5,5,1,1,2,1,1,1,3,2,3,3,3,1,3,3,3,1,1,3,1,1,46,2,1,4,0.16442451420029897,115,2
47634,5,2,6,2,2,2,2,2,2,2,4,5,3,4,3,2,1,4,2,3,2,2,2,2,2,2,2,3,3,1,2,1,2,2,1,2,2,2,31,15,1,4,0.16442451420029897,115,2
47635,5,1,5,1,2,1,1,2,1,2,4,4,1,4,4,5,5,1,2,1,2,2,1,3,3,2,2,3,3,1,2,1,3,3,2,1,2,2,43,16,1,4,0.16442451420029897,115,2
47636,5,1,6,1,2,2,2,2,2,2,4,5,2,4,2,4,3,4,4,4,2,2,1,2,3,1,2,3,3,1,2,2,2,2,2,3,1,2,34,12,1,4,0.16442451420029897,115,2
13401,1,2,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5790754257907542,117,NA
13402,1,1,2,1,1,1,2,2,1,1,1,1,5,2,5,1,1,3,5,5,1,2,2,2,2,3,2,3,2,3,1,1,1,3,2,1,3,3,13,25,1,1,0.5790754257907542,117,1
13403,1,1,1,2,2,1,2,2,1,1,5,4,2,5,NA,4,4,3,1,2,2,2,2,2,2,3,3,3,3,1,2,3,3,2,1,2,1,2,NA,9,1,1,0.5790754257907542,117,2
13404,1,2,2,1,1,1,1,2,1,1,1,4,5,4,4,1,1,1,4,4,2,1,1,2,2,2,2,2,2,1,1,3,3,1,1,2,2,2,23,12,1,1,0.5790754257907542,117,2
13405,1,2,2,2,2,2,2,2,1,2,4,3,2,4,3,4,4,3,4,5,1,1,2,2,3,2,2,3,1,1,2,2,2,2,1,2,1,1,32,13,1,1,0.5790754257907542,117,2
13406,2,2,3,2,2,2,2,2,2,2,4,4,1,4,2,4,4,4,1,1,2,1,1,1,3,2,2,2,2,1,3,2,2,1,1,1,1,1,41,9,1,1,0.5790754257907542,117,2
13407,2,1,3,2,NA,1,1,2,1,2,5,5,3,3,2,4,5,2,2,2,2,2,2,1,3,3,3,3,3,1,2,2,3,2,2,2,1,1,41,8,1,1,0.5790754257907542,117,2
13408,2,1,2,1,2,2,2,2,1,2,5,4,4,4,3,3,4,2,4,1,2,2,1,2,2,2,3,2,2,1,2,3,3,2,1,1,1,1,36,11,1,1,0.5790754257907542,117,2
13411,3,1,3,1,2,2,1,2,1,2,1,1,5,1,5,1,1,3,5,4,2,3,3,2,3,1,1,1,1,3,2,1,3,3,3,1,3,3,13,29,1,1,0.5790754257907542,117,1
13412,5,1,6,1,2,2,2,2,2,2,5,4,3,5,3,4,5,5,4,3,2,2,1,2,2,3,3,3,3,1,2,2,3,1,1,2,1,2,35,8,1,1,0.5790754257907542,117,2
13413,5,2,5,2,2,2,2,2,1,1,1,2,1,4,2,4,5,4,3,1,2,1,1,1,2,3,2,3,2,1,2,3,3,2,1,2,1,1,35,7,1,1,0.5790754257907542,117,2
13414,5,1,5,2,2,2,2,2,1,2,4,4,5,5,2,4,3,4,5,3,2,2,2,2,1,2,2,3,2,1,2,2,3,1,2,2,2,2,31,15,1,1,0.5790754257907542,117,2
13415,5,2,6,2,2,1,1,2,1,2,4,4,3,4,2,4,4,4,2,4,2,2,1,2,3,2,3,3,2,1,2,2,2,1,1,2,1,1,35,9,1,1,0.5790754257907542,117,2
13416,4,1,4,2,2,2,2,2,2,2,5,4,2,4,2,3,3,3,2,2,2,1,1,1,2,2,2,2,2,1,2,2,3,1,1,2,1,2,38,10,1,1,0.5790754257907542,117,2
13417,4,2,4,1,2,1,1,2,2,2,5,5,1,5,2,5,3,4,3,1,2,1,1,2,2,3,2,3,2,1,3,3,3,1,1,3,1,2,42,6,1,1,0.5790754257907542,117,2
13418,4,1,4,2,2,2,2,2,2,2,5,5,3,5,4,3,3,3,4,1,2,3,3,1,2,3,3,2,3,2,2,2,2,3,3,2,2,2,36,18,1,1,0.5790754257907542,117,2
13419,4,1,6,2,2,2,2,2,1,2,3,3,4,4,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,1,1,0.5790754257907542,117,2
13420,4,2,5,1,2,1,1,2,1,2,4,4,4,4,2,2,2,2,4,4,2,2,2,2,3,1,1,2,3,2,2,2,2,2,2,2,2,3,30,19,1,1,0.5790754257907542,117,2
13501,1,1,2,2,2,1,2,2,2,2,4,4,2,4,1,4,3,4,3,3,3,2,1,2,3,2,3,3,3,1,2,3,3,2,1,2,2,2,36,8,1,1,0.3422222222222222,77,2
13502,1,1,2,2,2,2,2,2,2,2,3,3,4,2,4,2,3,4,5,4,2,2,2,1,1,3,2,3,2,3,2,2,3,1,3,3,1,1,22,13,1,1,0.3422222222222222,77,2
13503,1,1,2,2,2,1,2,2,NA,2,4,4,2,4,2,4,4,4,2,2,3,2,2,2,1,3,3,3,3,3,2,2,3,1,1,3,1,1,38,9,1,1,0.3422222222222222,77,2
13504,1,2,1,2,2,1,2,2,1,2,5,4,1,4,1,5,5,4,3,2,2,1,1,1,3,3,3,3,2,1,2,3,3,1,1,3,1,1,42,3,1,1,0.3422222222222222,77,2
13505,1,2,2,2,2,2,2,2,2,2,5,4,2,5,2,5,5,4,3,3,1,1,1,2,1,3,2,2,2,1,2,2,2,1,1,2,1,2,40,13,1,1,0.3422222222222222,77,2
13506,1,1,1,2,NA,1,1,NA,1,1,3,3,3,4,3,2,2,4,4,4,3,2,1,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,26,16,1,1,0.3422222222222222,77,NA
13508,1,2,1,2,2,2,2,2,2,2,4,4,3,4,3,4,5,4,5,4,2,1,1,1,3,3,3,3,3,1,2,3,3,2,2,3,1,2,32,5,1,1,0.3422222222222222,77,2
13510,4,1,5,2,2,2,1,2,2,2,4,1,3,3,3,4,4,4,4,1,3,2,2,3,1,2,1,3,3,1,2,2,3,1,1,2,2,2,31,14,1,1,0.3422222222222222,77,2
13511,4,2,5,2,2,1,2,NA,1,2,4,4,1,4,1,4,4,3,1,1,3,1,2,2,1,3,3,3,3,1,2,3,3,1,1,3,1,2,43,6,1,1,0.3422222222222222,77,2
13512,4,1,4,2,2,2,1,2,1,2,5,5,1,5,1,5,5,4,2,1,3,2,2,2,2,3,3,3,3,1,2,2,2,1,2,3,2,2,46,10,1,1,0.3422222222222222,77,2
13513,4,2,5,2,2,2,2,2,2,2,5,4,1,4,1,5,5,1,1,1,3,1,1,1,3,3,3,3,3,1,2,3,2,1,1,3,1,1,48,2,1,1,0.3422222222222222,77,2
13514,4,1,4,1,2,2,2,2,1,2,5,5,1,5,2,5,5,3,1,1,3,2,1,2,3,2,3,3,2,1,3,3,3,1,1,2,1,1,47,5,1,1,0.3422222222222222,77,2
13515,5,2,5,1,2,2,2,2,2,2,4,5,3,4,1,4,5,3,4,3,3,1,1,1,3,2,3,3,3,1,2,3,2,2,2,3,1,2,38,6,1,1,0.3422222222222222,77,2
13516,5,1,6,1,2,2,2,1,1,1,5,5,3,5,3,4,4,5,2,2,2,3,3,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,38,21,1,1,0.3422222222222222,77,1
13517,4,1,4,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,2,2,1,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,32,14,1,1,0.3422222222222222,77,2
13518,4,1,5,1,2,2,2,2,2,2,4,4,4,4,3,3,3,4,4,3,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,30,19,1,1,0.3422222222222222,77,2
13520,2,2,2,2,2,2,2,2,2,2,5,5,NA,5,1,5,5,5,2,3,3,1,1,1,2,2,3,3,3,1,2,2,3,2,2,3,1,2,NA,7,1,1,0.3422222222222222,77,2
13522,5,1,5,1,2,1,1,1,1,1,5,5,1,5,5,4,5,3,2,2,2,2,1,2,2,2,3,2,2,1,2,3,3,2,1,2,1,1,41,10,1,1,0.3422222222222222,77,2
13523,5,2,5,1,2,1,2,2,1,2,5,5,1,5,3,5,5,3,1,1,3,2,1,1,2,3,3,3,3,1,3,3,3,1,1,3,1,1,46,2,1,1,0.3422222222222222,77,2
13525,3,2,4,2,1,2,2,2,1,2,5,5,3,NA,1,5,5,NA,NA,1,3,1,1,1,1,3,3,3,2,1,3,3,3,1,1,3,1,1,NA,3,1,1,0.3422222222222222,77,2
13526,3,1,4,2,2,2,2,2,2,2,5,5,1,5,1,5,5,5,2,2,1,2,2,2,1,3,2,3,2,1,1,2,2,1,3,2,2,2,44,18,1,1,0.3422222222222222,77,2
13528,2,1,3,2,2,2,1,2,2,1,5,5,1,4,1,5,5,4,4,4,3,2,2,2,2,2,2,3,2,2,2,3,3,2,2,1,2,1,40,14,1,1,0.3422222222222222,77,2
13529,2,2,2,1,2,2,1,1,2,2,5,5,1,5,5,5,5,1,1,5,3,1,1,1,3,3,3,3,3,1,3,3,3,1,1,3,1,2,42,1,1,1,0.3422222222222222,77,2
13530,2,1,2,1,2,2,2,2,1,2,5,4,3,4,2,3,4,4,3,3,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,35,15,1,1,0.3422222222222222,77,2
13532,3,1,4,2,2,1,2,2,2,2,5,5,1,5,1,5,5,5,1,1,3,2,1,3,2,2,3,3,3,1,2,2,3,2,1,3,1,1,46,8,1,1,0.3422222222222222,77,2
13533,3,1,4,2,NA,2,2,2,2,2,5,5,4,4,4,3,3,4,4,4,2,3,3,2,2,3,2,3,2,1,2,2,1,3,2,2,2,2,30,19,1,1,0.3422222222222222,77,2
13534,2,1,2,1,2,1,1,2,1,2,1,2,5,3,4,1,1,4,5,5,3,3,2,2,2,1,2,2,1,2,1,1,2,3,3,2,3,3,15,26,1,1,0.3422222222222222,77,1
13537,2,1,3,2,NA,2,2,2,2,2,5,5,2,4,2,4,4,4,2,3,3,2,1,2,2,3,3,3,3,1,2,2,2,1,1,2,1,2,39,8,1,1,0.3422222222222222,77,2
13601,2,2,2,2,2,1,2,2,1,2,3,4,4,3,1,3,4,4,5,5,3,2,1,1,3,2,3,2,1,1,2,2,2,1,2,2,2,1,28,11,2,1,0.49921259842519683,117,2
13602,2,1,3,1,2,2,2,2,2,2,4,4,2,4,2,4,4,4,3,2,3,3,1,2,3,3,3,3,3,1,2,2,2,1,1,3,1,2,37,7,2,1,0.49921259842519683,117,2
13603,2,1,3,1,2,2,1,2,1,2,5,4,2,4,2,4,4,4,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,1,1,3,2,2,39,7,2,1,0.49921259842519683,117,2
13605,2,1,2,2,NA,2,2,2,2,2,4,4,2,2,2,4,5,1,1,4,3,2,1,2,1,3,3,3,3,1,3,3,3,2,1,3,1,1,39,5,2,1,0.49921259842519683,117,2
13606,3,1,3,2,2,1,1,2,1,2,4,3,4,4,4,3,1,5,4,4,2,2,3,3,2,1,2,2,2,1,2,1,2,3,1,2,2,2,24,21,2,1,0.49921259842519683,117,2
13607,3,2,3,1,2,1,2,2,1,2,5,4,2,4,2,4,4,4,3,3,2,2,1,2,2,3,2,3,2,1,2,3,3,2,1,2,2,2,37,11,2,1,0.49921259842519683,117,2
13608,3,2,4,2,2,2,1,2,1,2,5,5,1,5,1,5,5,5,1,1,3,2,1,2,2,3,3,3,3,1,2,3,3,1,1,3,1,2,46,5,2,1,0.49921259842519683,117,2
13609,3,2,3,2,2,2,2,2,1,2,4,5,3,5,4,5,2,2,3,4,2,1,1,2,1,2,2,3,2,2,2,3,3,2,2,3,1,3,35,13,2,1,0.49921259842519683,117,2
13610,3,2,4,2,2,2,1,2,1,2,5,4,2,4,1,4,5,5,3,2,2,2,2,2,3,2,3,3,3,1,2,2,3,2,1,3,1,2,39,9,2,1,0.49921259842519683,117,2
13612,4,1,5,1,1,2,2,1,2,2,5,5,1,4,1,5,5,1,1,1,2,1,1,2,1,2,3,1,2,1,2,3,3,2,1,3,1,1,49,10,2,1,0.49921259842519683,117,2
13614,4,2,5,2,2,2,2,1,1,2,4,4,2,3,3,4,5,4,2,3,3,2,1,2,3,3,3,3,2,2,3,3,2,1,1,3,1,2,36,6,2,1,0.49921259842519683,117,2
13615,4,2,5,2,2,2,2,1,2,2,4,4,2,4,NA,2,4,4,2,2,2,1,1,2,2,2,3,3,3,1,2,2,3,2,1,2,1,1,NA,8,2,1,0.49921259842519683,117,2
13616,4,2,4,2,2,2,2,2,2,2,4,4,4,5,2,3,3,3,4,4,2,2,1,1,3,3,3,3,3,1,2,2,2,1,2,2,2,3,32,10,2,1,0.49921259842519683,117,2
13617,4,1,5,2,2,2,2,2,2,2,4,4,2,4,1,4,4,4,3,1,2,1,1,1,2,2,2,3,3,1,3,2,2,1,2,2,1,2,39,9,2,1,0.49921259842519683,117,2
13618,4,2,4,1,2,2,2,2,2,2,4,4,4,4,4,4,4,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,1,1,37,5,2,1,0.49921259842519683,117,2
13620,5,1,6,1,2,2,1,2,2,2,5,5,1,5,1,5,5,5,1,1,3,1,1,1,1,3,3,3,3,1,3,3,3,1,1,3,1,1,46,2,2,1,0.49921259842519683,117,2
13621,1,1,2,1,NA,2,2,2,1,2,5,5,1,5,5,5,5,3,1,1,1,2,1,1,2,3,2,3,2,1,2,2,2,1,1,3,1,2,44,10,2,1,0.49921259842519683,117,2
13622,1,2,2,2,2,2,1,2,1,1,1,1,2,1,3,1,1,1,3,3,1,2,1,1,2,3,3,3,3,1,3,3,3,1,1,3,1,1,23,4,2,1,0.49921259842519683,117,2
13623,1,2,2,2,2,2,2,2,2,2,4,4,2,3,1,5,4,3,4,1,2,2,2,2,3,3,2,2,2,1,3,2,3,2,1,3,1,2,39,10,2,1,0.49921259842519683,117,2
13624,1,1,2,1,2,1,1,2,2,2,3,2,4,3,4,2,1,5,4,4,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,20,19,2,1,0.49921259842519683,117,1
13631,2,2,2,1,2,2,2,2,1,1,4,4,1,4,1,4,5,3,4,4,1,2,1,2,2,2,2,2,2,1,2,3,3,2,1,3,1,1,38,11,2,1,0.49921259842519683,117,2
13632,5,2,5,2,1,1,1,1,1,1,4,4,2,5,3,4,5,4,4,3,3,1,3,2,3,2,2,3,2,1,2,2,3,3,2,2,2,2,36,14,2,1,0.49921259842519683,117,1
13633,5,1,6,1,2,2,1,2,2,2,5,5,1,5,1,5,5,3,3,1,2,2,2,1,2,3,3,3,3,1,2,2,3,1,1,3,1,1,46,6,2,1,0.49921259842519683,117,2
13634,5,1,5,1,2,2,1,2,1,2,4,4,2,4,3,4,3,2,2,3,2,2,1,1,1,2,2,3,3,1,2,2,3,1,2,2,1,3,37,12,2,1,0.49921259842519683,117,2
13635,5,1,5,2,2,2,2,2,2,2,5,4,1,5,1,5,5,2,2,3,2,2,1,2,1,3,2,3,3,1,2,2,3,1,2,2,1,2,45,11,2,1,0.49921259842519683,117,2
13636,5,2,5,2,2,2,2,2,1,2,5,5,2,4,1,5,5,4,2,2,2,1,1,2,1,3,3,3,2,1,2,2,2,2,1,3,1,2,43,10,2,1,0.49921259842519683,117,2
13637,5,2,5,2,2,2,2,2,1,2,4,4,3,4,2,4,4,4,3,2,3,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,36,18,2,1,0.49921259842519683,117,2
13701,2,1,6,1,NA,NA,NA,2,1,2,2,2,3,2,2,5,5,5,5,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,1,1,1,3,28,15,1,1,1,117,2
13702,2,2,2,2,2,2,2,2,2,2,5,5,1,5,1,5,5,1,1,1,1,1,1,2,1,3,3,3,3,1,3,3,3,1,1,3,1,1,50,5,1,1,1,117,2
13703,2,1,3,2,2,1,2,2,1,2,4,3,NA,4,3,3,3,3,4,3,2,2,1,1,2,2,3,2,2,1,2,2,2,1,1,2,1,1,NA,10,1,1,1,117,2
13704,2,2,2,2,2,2,2,2,2,2,5,5,1,5,5,5,5,5,3,1,2,1,1,1,3,3,3,3,3,1,2,2,2,1,1,2,1,2,40,6,1,1,1,117,2
13705,2,2,3,2,2,2,2,2,2,2,4,4,2,4,4,4,4,4,2,4,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,34,12,1,1,1,117,2
13706,2,2,3,2,2,2,2,2,2,2,5,5,3,5,1,5,5,5,3,3,3,2,3,2,3,2,3,3,3,1,2,3,2,2,2,3,2,2,40,11,1,1,1,117,2
13707,2,1,2,2,2,1,1,2,1,2,4,4,2,1,4,1,1,4,3,2,3,1,1,2,3,3,2,3,2,1,2,3,3,2,1,2,1,1,26,6,1,1,1,117,2
13708,2,2,3,2,2,2,2,2,2,2,1,4,2,2,3,2,3,2,1,3,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,31,15,1,1,1,117,2
13709,2,1,4,1,1,1,1,1,1,1,1,1,5,1,5,2,2,5,5,5,2,3,3,3,3,1,1,1,3,3,2,2,2,3,3,2,3,3,12,27,1,1,1,117,1
13710,2,2,2,2,2,1,2,2,2,1,4,4,2,4,2,4,4,4,NA,2,3,1,1,1,3,3,3,3,3,NA,3,3,3,1,1,3,1,1,NA,NA,1,1,1,117,2
13711,2,1,2,1,2,1,2,2,1,1,4,3,3,5,1,4,5,5,1,1,3,1,2,2,3,3,3,3,3,1,3,3,3,2,1,2,1,2,40,5,1,1,1,117,NA
13712,2,1,3,2,2,2,2,2,2,2,4,4,3,3,4,3,3,4,4,3,2,1,1,2,3,2,2,3,2,1,2,2,2,2,2,2,1,2,29,12,1,1,1,117,2
13713,1,2,1,2,2,1,1,2,2,2,4,4,4,4,1,4,4,4,4,1,2,1,1,1,NA,3,3,1,2,NA,2,2,1,1,NA,2,1,1,36,NA,1,1,1,117,2
13714,1,2,2,2,2,1,2,2,1,2,4,4,2,4,4,2,4,4,4,2,2,1,1,2,2,2,3,3,1,1,2,1,3,1,1,1,1,1,32,11,1,1,1,117,2
13715,1,1,1,2,2,1,2,2,2,1,5,4,3,5,3,4,4,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,39,17,1,1,1,117,2
13716,1,2,2,1,2,1,2,2,1,2,1,2,1,1,3,3,1,1,5,3,2,2,1,2,3,2,3,2,1,1,NA,1,2,2,2,1,2,3,25,NA,1,1,1,117,2
13717,1,2,1,NA,2,2,1,2,1,2,3,4,3,4,4,4,4,4,4,3,2,1,1,2,2,3,3,3,3,2,2,3,3,1,2,3,1,1,31,6,1,1,1,117,2
13718,1,1,1,1,2,2,2,2,1,2,3,3,3,4,4,1,1,5,5,4,2,3,3,1,1,3,3,3,1,2,1,2,2,2,1,2,3,2,21,19,1,1,1,117,2
13719,1,1,2,1,2,1,2,2,2,1,5,5,2,5,2,5,5,5,5,5,2,2,2,2,2,3,2,3,2,2,2,2,3,2,1,2,2,2,36,14,1,1,1,117,2
13720,1,2,1,2,2,2,2,2,1,2,4,4,2,2,4,4,4,4,4,4,2,1,1,2,2,3,2,3,2,2,2,2,3,1,2,2,1,2,30,11,1,1,1,117,2
13736,1,2,2,2,2,2,2,2,2,2,4,4,1,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,1,1,1,1,3,2,1,1,1,1,35,13,1,1,1,117,2
13737,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,3,2,3,2,2,1,2,2,2,2,1,2,2,1,28,12,1,1,1,117,2
13801,1,2,NA,1,2,2,2,2,1,1,5,5,1,4,1,5,5,3,2,2,3,1,2,2,3,3,3,3,2,1,3,3,3,2,2,2,2,1,45,7,2,1,0.3378995433789954,66,2
13802,1,2,1,2,2,2,2,2,2,1,3,5,1,3,2,4,3,5,1,1,2,2,2,1,3,2,2,3,2,1,2,2,2,2,2,2,2,2,38,14,2,1,0.3378995433789954,66,2
13803,1,2,2,2,2,1,1,2,1,2,4,5,1,5,1,5,4,5,2,1,2,2,2,2,3,3,3,3,3,1,2,3,3,2,2,3,1,2,43,8,2,1,0.3378995433789954,66,2
13805,1,1,2,2,2,1,2,2,1,2,4,5,1,4,1,4,5,3,1,1,2,1,2,1,2,3,3,3,2,1,2,3,2,1,2,2,1,1,45,8,2,1,0.3378995433789954,66,2
13806,1,1,1,1,2,1,1,2,1,1,1,1,4,4,3,2,5,1,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,29,17,2,1,0.3378995433789954,66,2
13807,1,1,1,2,2,1,1,2,2,2,5,4,3,3,2,2,4,2,NA,3,2,3,3,3,3,3,3,2,3,1,2,2,2,2,2,3,2,2,NA,15,2,1,0.3378995433789954,66,2
13808,2,2,2,2,2,2,1,2,2,2,5,5,1,4,1,4,5,3,2,3,2,1,2,2,2,2,2,3,2,1,2,2,3,1,1,2,1,2,43,11,2,1,0.3378995433789954,66,2
13809,2,1,2,1,2,2,2,1,1,1,5,4,5,5,1,5,5,4,5,5,3,3,3,3,1,1,1,2,3,2,1,2,3,3,3,1,1,3,34,25,2,1,0.3378995433789954,66,2
13810,2,2,3,2,2,2,2,1,1,2,3,3,2,4,3,2,2,4,3,4,2,2,2,1,2,1,2,3,1,1,2,2,3,3,2,2,2,3,28,18,2,1,0.3378995433789954,66,2
